,email_body,subject_line
0,"Greg/Phillip,  Attached is the Grande Communications Service Agreement.
The business points can be found in Exhibit C.  I Can get the Non-Disturbance agreement after it has been executed by you and Grande.
I will fill in the Legal description of the property one I have received it.
Please execute and send to:  Grande Communications, 401 Carlson Circle, San Marcos Texas, 78666 Attention Hunter Williams.
<<Bishopscontract.doc>>
",Service Agreement
1,"Phillip & Keith  Attached is the first draw request, I will need some of these funds immediately.
I think checks out of Bishops Corner, L.P. may be the easiest, or you can wire money to me and I can write the checks when needed.
Please let me know how you wish to handle this and I will proceed.
Additionally, it is getting close to closing.
I will need to get contracts signed at this point as soon as possible.
We can handle this in two ways.
I prefer that you elect me as a Vice - President of the General Partner and then I will sign all documents, or I can Federal Express contracts (this is more difficult).
I have a funeral at 10:00 and I will be back about 1:00.
I look forward to hearing from you.
Greg     - Draw # 1 - 10.25.01.xls
",Bishops Corner
2,"Your Internet Banking accounts are now setup again for accessing.
The login id is still your main acct.
# with the password being reset to the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
You will then be directed to a screen that asks for information such as: Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire.
Always remember that your password is case sensitive.
One major change is the wording of your accounts names (they have changed to product types and not descriptions).
You can change your account descriptions by clicking on the Nicknames button and entering your own account description.
We are still working on getting the information to post again correctly (your old account information has been removed, and we hope to have this information converted shortly and back on-line), so you will notice that credits and debits do not show up in the appropriate columns.
Transaction descriptions are correct and the balances information is correct as of our last day of processing (11/16/01).
We appreciate your patience and continued support.
Our goal is to be fully operational and all information corrected before the holiday season.
Please make sure to record any suggestions (or problems) that you might have concerning our web site.
Again, thanks for banking with State Bank & Trust and happy surfing.
Sincerely,
",Internet Banking
3,"To our IBS Customers that are still hanging in there:  We understand your continued frustration and express our sincerest apologies for our inability to give complete and accurate answers to your questions.
The problems that we are seeing are one of three (3) possibilities:  1)  You have entered your password incorrectly (or what you thought was the correct password) and been given the error message that you have exceeded your opportunities for today, and you receive the message ""You have failed to correctly login three times today; please try again tomorrow, or contact the bank at 830-379-5236 to have your password reset.""
This is the easiest problem to correct and we can fix this one quickly with you online (on the phone).
Should you receive this message, please call our Computer Department and ask for either myself (Howard Gordon) @ 830-401-1185, Christina Kirby @ 830-401-1189, or Lora Robles @ 830-401-1182.
If you reach our voice mail (or another employee), please leave your Name, Account # and call back #.
2)  You are not using the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
Please try again using the last six (6) digits, or call us to determine who we have recorded as the primary account holder.
3)  If you see this error message ""Invalid login; please try again"" (after three [3] or more tries), then you possibly fall into this last category.
Your account is one of the few that did not convert correctly (we will not release any information about these accounts until we verify that all information is correct and accurate).
We are finalizing these accounts today and should have them available for access this afternoon (late) or this evening.
Once we release these accounts for IBS access, you will have to again use the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder), then you will be directed to a screen that asks for information such as:  Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire (you can at this point change your password back to what it was before).
Always remember that your password is case sensitive.
Should you get into IBS (before early evening [6:00pm]), the balance and transactional information displayed is as of 11/16/01 (Friday night).
We will have this information updated by 6:00pm (hopefully), and then information will be as of Monday (11/19/01).
Again we want to thank you for your patience through this (trying) ordeal, and we look forward to continuing to service your IBS needs in the future.
Sincerely,
",Internet Banking
4,"Phillip Good Morning!
I hope you had a wonderful Thanksgiving with your family and safe travels.
As per our meeting on Tuesday, please identify people you think will be good for the expert story roles.
You can provide me a list and either contact them first or provide me with an introduction to get their commitment.
Thanks a million in advance for your continued support of this project.
",SMEs for expert stories
5,"Phillip,  Ina scheduled the conference room for tomorrow, so she's probably already got it on your schedule, but FYI - our meeting will be in the new Enron building, Room 6104.
See you at 10:00.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Room for Tomorrow's Meeting
6,"Phillip,  Thank you for meeting with us today.
I want to take a few minutes to summarize the decisions that came out of our meeting.
1.
Feedback Approach: We will incorporate the ideas and suggestions you gave us and move forward with this approach.
2.
SME Review of Knowledge System Topics: When the time comes for Topics reviews, we will send you the name of the SME who is responsible for sign-off on each topic.
3.
Conversion and Arbitrage Problems: We will brainstorm ways to incorporate more problems without going over our 4-6 hour target.
We will meet with you next Tuesday at 10:00 to review the problems as we've designed them so far and arrive at a solution.
(I will send an e-mail Monday with the room number.)
Have a good weekend.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Summary of Today's Meeting
7,"Phillip,  I will get a room for our Wednesday 10:00 meeting and e-mail you with the room number.
FYI, our goal is to discuss the expert path (best answers) for the storage problem and to ask you some specific questions regarding storage.
Also, if you have time, could you send me a definition of Intra-Month Risk?
Thank you for your help.
",Wednesday Meeting
8,"To all of our esteemed & prized Internet Banking  (IBS) Clients:  You probably have begun to wonder does anyone ever return phone calls (or e-mails).
We really do but have been holed up trying to complete this project ASAP.
We knew that this might upset some clients, but we found that this is the quickest way to fix this problem and get our users back on-line.
We have finalized the movement of your customer account #s and re-linked your additional accounts back to your primary Login ID (Acct #).
This process was more daunting than we anticipated and having to verify 1100 IBS users and account #s (to insure your data integrity and confidentiality) was even more grueling than expected.
After verifying data and Login IDs, we believe that we are on the right track.
Some of you (our IBS clients) might notice your accounts displayed more than once or additional accounts displayed that you may (or may not) want displayed on your IBS screen.
Should this be the case, please e-mail (or phone) the information to us and we will remove this information right away.
To our IBS Billpayer clients:  During this process, we seem to have misplaced (blown away) your bill payment information (particularly anyone that has [had] reoccurring payments scheduled to process on particular days).
This has become our highest priority to retrieve this information, thus alleviating the process of having to request that our IBS Billpayers re-enter this information.
We are going to waive all bill payment charges for the months of November & December, 2001 to try and regain your confidence (and support).
Again, we deeply express our regrets and hope that we (yourselves and ourselves) do not have to go through this process again.
Should you be one of our IBS clients that still has not gained access to your account information, please refer to the following information:
",How do I eat crow and still make it tasty???????
9,"Wade,   I understood your number one priority was to deal with your vehicle  situation.
You need to take care of it this week.
Lucy can't hold the  tenants to a standard (vehicles must be in running order with valid stickers)  if the staff doesn't live up to it.
If you decide to buy a small truck and  you want to list me as an employer for credit purposes, I will vouch for your  income.
Phillip
",For Wade
10,"Will,   Here is a list of the top items we need to work on to improve the position  and p&l reporting for the west desk.
My underlying goal is to create position managers and p&l reports that  represent all the risk held by the desk and estimate p&l with great accuracy.
Let's try and schedule a meeting for this Wednesday to go over the items  above.
Phillip
",Priority List
11,"Christy,   I read these points and they definitely need some touch up.
I don't  understand why we need to give our commentary on  why prices are so high in  California.
This subject has already gotten so much press.
Phillip
",Talking points about California Gas market
12,"Jed,   I understand you have been contacted regarding a telephone interview to  discuss trading opportunities at  Enron.
I am sending you this message to  schedule the interview.
Please call or email me with a time that would be  convenient for you.
I look forward to speaking with you.
",Enron
13,"Griff,    Can you accomodate Dexter as we have in the past.
This has been very helpful  in establishing a fair index at Socal Border.
Phillip  Please cc me on the email with a guest password.
The sooner the better as  bidweek is underway.
",NGI access to eol
14,"Lucy,  The apartments that have new tenants since December 15th are:   1,2,8,12,13,16,20a,20b,25,32,38,39.
Are we running an apartment complex or a motel?
Please update all lease information on the 1/12 rentroll and email it to me  this afternoon.
Phillip
",updated lease information
15,"Liane,   As we discussed yesterday, I am concerned there has been an attempt to  manipulate the  El Paso San Juan monthly index.
A single buyer entered the  marketplace on both September 26 and 27 and paid above market prices  ($4.70-$4.80) for San Juan gas with the intent to distort the index.
At the  time of these trades, offers for physical gas at significantly (10 to 15  cents) lower prices were bypassed in order to establish higher trades to  report into the index calculation.
Additionally, these trades are out of  line with the associated financial swaps for San Juan.
We have compiled a list of financial and physical trades executed from  September 25 to September 27.
These are the complete list of trades from  Enron Online (EOL), Enron's direct phone conversations, and three brokerage  firms (Amerex, APB, and Prebon).
Please see the attached spreadsheet for a  trade by trade list and a summary.
We have also included a summary of gas  daily prices to illustrate the value of San Juan based on several spread  relationships.
The two key points from this data are as follows:   1.
The high physical prices on the 26th & 27th (4.75,4,80) are much greater  than the high financial trades (4.6375,4.665) on those days.
2.
The spread relationship between San Juan and other points (Socal &  Northwest)  is  consistent between the end of September and         October gas daily.
It doesn't make sense to have monthly indeces that  are dramatically different.
I understand you review the trades submitted for outliers.
Hopefully, the  trades submitted will reveal counterparty names and you will be able to  determine that there was only one buyer in the 4.70's and these trades are  outliers.
I wanted to give you some additional points of reference to aid in  establishing a reasonable index.
It is Enron's belief that the trades at  $4.70 and higher  were above market trades that should be excluded from the  calculation of index.
It is our desire to have reliable and accurate indeces against which to  conduct our physical and financial business.
Please contact me  anytime I can assist you towards this goal.
Sincerely,
",San Juan Index
16,"All -    In preparation for another round of Trading Track interviews for the ENA group, please be aware of the following dates...   October 10 - October 16 :  Initial phone interviews by two traders for External candidates.
October 24, 3:00 - 6:00pm :  Final interviews for internal and external candidates.
Please send either Karen Buckley or me the names of internal individuals who you feel would be a great candidate for the ENA Trading Track.
We look forward to your active participation.
Kind regards,
",ENA Trading Track Interviews
17,"Gentlemen  I wanted to provide you an update on the status of the Refco private label platform deal.
We have had several meetings since I first presented the idea to you all.
Unfortunately, Refco's headquarters was in One World Financial Center which was severely damaged by debris from the World Trade Center collapse.
They suffered no human losses from the disaster, but their offices are off limits and all their computers and paper files are inaccessible for the time being.
They are up and running out of a Jersey City location with some back up capability.
To briefly summarize the discussion so far, ENW would build a Refco branded platform similar to EOL that would be accessed by Refco's customers.
Enron would provide transactable prices to the site with wider spreads and potentially smaller minimum volumes.
Refco customers would transact on the site with Refco as their counterparty and Refco would sleeve the transactions to Enron allowing us to consolidate our credit risk to a singular credit, Refco.
The products contemplated include various Nymex look-a-like products and other liquid swaps in oil, natural gas, and electricity.
Revenue would come to Enron in the form of license fees for the platform, transaction fees, and origination from the additional volume create by the wider margin products.
Revenue would come to Refco in the form of transaction fees.
Refco has a similar arrangement in place for FX with Dresner bank and have announced a similar platform for bonds and securities with Cantor Fitzgerald/E-speed.
All that being said, they are anxious to move the discussion forward and we have planned a visit for them to come to Houston in 2 weeks.
Attending will be Gary Weiss, SVP Refco Group Ltd. LLC and President & CEO of Refco F/X Ltd LLC, and Joe Murphy, CEO Refco Futures Ltd. LLC.
The purpose of this visit is for them to give us a presentation on the Refco Group of companies, discuss the products and estimations of revenue streams based on their current futures business, and discuss the possible structure of the deal.
The meeting is scheduled to begin at 2:30pm Thursday Oct 4 and expected to last the balance of the day and possibly into the next morning.
I will approach you all individually to get your feedback on how you would like to interact with them and when.
I realize there are significant issues to be addressed.
Refco currently has some 175,000 collateralized customer accounts ranging from Institutional Investors & locals down to individuals.
We have put these into 2 buckets which have different profiles.
Phase 1 would include the Top 2000 accounts which are largely substantial institutional investors, locals, and high net worth individuals.
If this proves successful, phase 2 would be rolled out with products designed to attract activity from the smaller investors.
The idea would be to automate the products as much as is practical.
Mark Tayor in Legal has already spoken with their counsel and is comfortable that they have reviewed all the legal angles thoroughly.
Refco advises that if the have accounts back up by collateral guaranteed by them, they become Eligible Contract Participants (ECPs) able to execute derivatives.
So, they believe that the majority of the 175,000 accounts they have could be ECPs for the purposes of this deal.
Credit is reviewing the Refco financials and we plan to discuss this thoroughly during their visit.
Please do not hesitate to contact me at x36413 if you have any questions or comments and I will be getting in touch with you early next week to get your feedback.
Regards
",REFCO Project Update
18,"i hpe thingsa re ok for you.obviously a shit load of rumours circulating .
we both know youll be ok personally but cant be fun.
if i can help you know where im at.
be cool
",stuff
19,"Front to backs are huge Is the delivered basis market holding value or is it getting crushed?.
Heard about el paso oct feb roll, from where I'm at, thinking selling Oct and going long Feb phys is better than feb merc, rather stack length in winter front and bet on hording of existing storage given forecast At these levels I like owning winter physical against NYMEX short?Is the bias that the EFP's blow out further?
Frank
",Trade idea
20,"John,  As discussed, the AIG exposure is $57MM, and it is distributed among the price, option, and exotic books.
The attached spreadsheet details the dollar value and volume by month by book.
Please call if you have questions.
Tanya
",AIG positions
21,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Justin K Rostant Report Name: Rostant 112001 Days In Mgr.
Queue: 5
",Expense Reports Awaiting Your Approval
22,"John,  I am performing code updates to the stand-alone EOL workstation WNAEOL-48101 this evening and wanted to check with you to see at which point it would be convenient for you.
I assume after the business day would be acceptable and my intent is to start near 6:00 p.m. or, at any time you decide is convenient for you.
I called a short while ago and will do so again before proceeding, but if you receive this email and need to contact me, you may reach me at extension 5-7004.
Thanks.
Chris Jeska Terminal Server Operations.
",EOL Code Update
23,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Justin K Rostant Report Name: Rostant 112001 Days In Mgr.
Queue: 6
",Expense Reports Awaiting Your Approval
24,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Henry H Quigley Report Name: Quigley 100301 Days In Mgr.
Queue: 4
",Expense Reports Awaiting Your Approval
25,"The World Wide RibFest ""celebration of the Rib"" is coming up.
This will be the 5th annual ribfest, and John Mee has his work cut out for him to defend the title he won last year (for the second time).
I believe he will have a tough time, as the competition looks increasingly focused on unseating the former Bostonian from his Throne.
For those of you who haven't been to a ribfest in the past, it's a barbeque competition where 5 to 7 cooks compete to see who can produce the best Baby Back Ribs (if you want those Fred Flintstone beef ribs, you ain't getting them here).
A blind-judging takes place to determine the winner, but often the crowd gets up in arms and nominates a ""peoples choice"" (though this is not officially recognized by the sanctioning body).
Every year, my wife asks the following: 	""So, besides Ribs, beer and margaritas, what else will be served?""
I reply:	""Nothing comes to mind.""
She replies:	""No.""
As you might expect, she wins this discussion year in, year out.
So, appetizers, sides, desserts and food & drink for the kids are also served.
The competition around the grills gets a little rough, so I recommend that the young and faint-of-heart maintain a safe distance while the cooking and competition is taking place.
The appropriate College football games will be broadcast, so you don't have to worry about missing any games.
There are a couple of changes to this year's competition: The competition will be held at the John Mee/Laura Benjamins compound in Bellaire Mike Paradise (who won the very first ribfest) has stepped out of the competition this year citing ""personal reasons""  Date & Time Saturday November 3rd.
We fire the grills up around 12:00, and the judging takes place between 3:00 and 3:30.
Where 4807 Elm Street in Bellaire  Directions (from John Mee himself) From downtown, take 59s to 610s.
The first exit is the Bissonette//Fournace exit.
Take this exit and go through the light, noting the gouging in the lamppost from that freak cherry-picker accident from last April.
Before the Bisonette light, there is a big Chase Bank Building.
Right before that building is Elm Street.
Take a right on Elm Street exactly 236 yards to 4807 Elm Street.
Go inside and ask for directions there, cause I really don't have a clue...
KIDS Bring 'em!
We'll have the Moonwalk set up for them again this year, and we'll have hot dogs, burgers, popcorn and drinks for them.
The more kids the better.
What you need to bring Nothing, except maybe some attitude to heckle the cooks while they try to concentrate.
",RIBFEST -5- (Nov. 3rd)
26,"I would like to set up a brief meeting in the afternoon this week or next, to discuss increasing the liquidity in west basis on EOL.
It would be helpful for our desk to sit down with John Arnold and John Lavorato to openly discuss the importance of continuing to increase liquidity on EOL.
I would also like to put to rest the notion that increasing liquidity leads to negative P&L and that a Trader's support of EOL liquidity will go unrecognized at year end PRC.
Please email me with a response of when we could set up such a meeting.
Sincerely,
",Increasing EOL liquidity in West Basis
27,"These were the messages in your voicemail:  1.
10/18/01 - Margaret Allen ....needed your advice on whether her sister should take job with Cal-Pine or Kinder Morgan  2.
10/19/01 - Adrianne Engler ....regarding candidantes that you were suppose to phone interview.
(you have sent her an email since this)  3.
10/23/01 - Bob Shults(X3-0397)....they met with Nymex last week and are getting ready send the proposal ont eh document you saw last week.
He wants to make sure that you                                          are okay with this and dont have any issues.
",Confidential - Voicemail Messages
28,"Hey there.
We are going to be at Front Porch today if you aren't busy later.
You are invited to stop by and wear my necklace if you want.
Has your week been better than last week?
Talk to you soon.
Kim
",hi
29,"John, Would you have 45 minutes later this week for Eric and myself?
We'd like to give you a quick update on whats happening in the Atlantic basin in LNG, and also get an update from you on where the US Natgas market is heading.
Thanks,
",LNG Update
